TYPE,FULLCODE,STATE,COUNTY,TRACT,BLOCK,PLACE,COUSUB,CONCITY,AIANNH,SHEETS
Block,410030011013006,41,3,11.01,3006,15800,90680,,,2
Block,410030011013007,41,3,11.01,3007,15800,90680,,,2
Block,410030011013008,41,3,11.01,3008,15800,90680,,,2
Block,410030011013009,41,3,11.01,3009,15800,90680,,,2
Block,410030011013010,41,3,11.01,3010,15800,90680,,,2
Block,410030011013011,41,3,11.01,3011,15800,90680,,,2
Block,410030011014000,41,3,11.01,4000,15800,90680,,,2
Block,410030011014001,41,3,11.01,4001,15800,90680,,,2
Block,410030011014002,41,3,11.01,4002,15800,90680,,,2
Block,410030011014003,41,3,11.01,4003,15800,90680,,,2
Block,410030011014004,41,3,11.01,4004,15800,90680,,,2
Block,410030011014005,41,3,11.01,4005,15800,90680,,,2
Block,410030011014006,41,3,11.01,4006,15800,90680,,,2
Block,410030011014007,41,3,11.01,4007,15800,90680,,,2
Block,410030011014008,41,3,11.01,4008,15800,90680,,,2
Block,410030011021000,41,3,11.02,1000,15800,90680,,,2
Block,410030011021001,41,3,11.02,1001,15800,90680,,,2
Block,410030011021002,41,3,11.02,1002,15800,90680,,,2
Block,410030011021003,41,3,11.02,1003,15800,90680,,,2
Block,410030011021004,41,3,11.02,1004,15800,90680,,,2
Block,410030011021005,41,3,11.02,1005,15800,90680,,,2
Block,410030011021006,41,3,11.02,1006,15800,90680,,,2
Block,410030011021007,41,3,11.02,1007,15800,90680,,,2
Block,410030011021008,41,3,11.02,1008,15800,90680,,,2
Block,410030011021009,41,3,11.02,1009,15800,90680,,,2
